,Domain.Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Production in tonnes,Flag,FlagD
465,QC,Crops,100,India,5419,Yield,289,Spices,2001,4177,Fc,Calculated data
466,QC,Crops,100,India,5419,Yield,289,Spices,2002,3055,Fc,Calculated data
467,QC,Crops,100,India,5419,Yield,289,Spices,2003,4600,Fc,Calculated data
468,QC,Crops,100,India,5419,Yield,289,Spices,2004,3656,Fc,Calculated data
469,QC,Crops,100,India,5419,Yield,289,Spices,2005,3720,Fc,Calculated data
470,QC,Crops,100,India,5419,Yield,289,Spices,2006,3752,Fc,Calculated data
471,QC,Crops,100,India,5419,Yield,289,Spices,2007,4207,Fc,Calculated data
472,QC,Crops,100,India,5419,Yield,289,Spices,2008,3539,Fc,Calculated data
473,QC,Crops,100,India,5419,Yield,289,Spices,2009,3030,Fc,Calculated data
474,QC,Crops,100,India,5419,Yield,289,Spices,2010,4295,Fc,Calculated data
475,QC,Crops,100,India,5419,Yield,289,Spices,2011,4241,Fc,Calculated data
476,QC,Crops,100,India,5419,Yield,289,Spices,2012,3764,Fc,Calculated data
826,QC,Crops,100,India,5419,Yield,702,Spices,2013,1727,Fc,Calculated data
478,QC,Crops,100,India,5419,Yield,289,Spices,2014,4055,Fc,Calculated data
479,QC,Crops,100,India,5419,Yield,328,Seed cotton,1994,8024,Fc,Calculated data
480,QC,Crops,100,India,5419,Yield,328,Seed cotton,1995,7562,Fc,Calculated data
481,QC,Crops,100,India,5419,Yield,328,Seed cotton,1996,8289,Fc,Calculated data
482,QC,Crops,100,India,5419,Yield,328,Seed cotton,1997,6501,Fc,Calculated data
483,QC,Crops,100,India,5419,Yield,328,Seed cotton,1998,6987,Fc,Calculated data
484,QC,Crops,100,India,5419,Yield,328,Seed cotton,1999,7032,Fc,Calculated data
485,QC,Crops,100,India,5419,Yield,328,Seed cotton,2000,5979,Fc,Calculated data
486,QC,Crops,100,India,5419,Yield,328,Seed cotton,2001,5836,Fc,Calculated data
487,QC,Crops,100,India,5419,Yield,328,Seed cotton,2002,5974,Fc,Calculated data
488,QC,Crops,100,India,5419,Yield,328,Seed cotton,2003,9600,Fc,Calculated data
489,QC,Crops,100,India,5419,Yield,328,Seed cotton,2004,9933,Fc,Calculated data
490,QC,Crops,100,India,5419,Yield,328,Seed cotton,2005,11326,Fc,Calculated data
491,QC,Crops,100,India,5419,Yield,328,Seed cotton,2006,13151,Fc,Calculated data
492,QC,Crops,100,India,5419,Yield,328,Seed cotton,2007,14613,Fc,Calculated data
493,QC,Crops,100,India,5419,Yield,328,Seed cotton,2008,12576,Fc,Calculated data
494,QC,Crops,100,India,5419,Yield,328,Seed cotton,2009,12377,Fc,Calculated data
495,QC,Crops,100,India,5419,Yield,328,Seed cotton,2010,15940,Fc,Calculated data
496,QC,Crops,100,India,5419,Yield,328,Seed cotton,2011,15748,Fc,Calculated data
497,QC,Crops,100,India,5419,Yield,328,Seed cotton,2012,15174,Fc,Calculated data
498,QC,Crops,100,India,5419,Yield,328,Seed cotton,2013,16165,Fc,Calculated data
499,QC,Crops,100,India,5419,Yield,328,Seed cotton,2014,16102,Fc,Calculated data
500,QC,Crops,100,India,5419,Yield,333,Lentils,1994,3463,Fc,Calculated data
501,QC,Crops,100,India,5419,Yield,333,Lentils,1995,3403,Fc,Calculated data
502,QC,Crops,100,India,5419,Yield,333,Lentils,1996,3463,Fc,Calculated data
503,QC,Crops,100,India,5419,Yield,333,Lentils,1997,3732,Fc,Calculated data
504,QC,Crops,100,India,5419,Yield,333,Lentils,1998,2899,Fc,Calculated data
505,QC,Crops,100,India,5419,Yield,333,Lentils,1999,3535,Fc,Calculated data
506,QC,Crops,100,India,5419,Yield,333,Lentils,2000,4060,Fc,Calculated data
507,QC,Crops,100,India,5419,Yield,333,Lentils,2001,3509,Fc,Calculated data
508,QC,Crops,100,India,5419,Yield,333,Lentils,2002,3903,Fc,Calculated data
509,QC,Crops,100,India,5419,Yield,333,Lentils,2003,3926,Fc,Calculated data
510,QC,Crops,100,India,5419,Yield,333,Lentils,2004,4124,Fc,Calculated data
511,QC,Crops,100,India,5419,Yield,333,Lentils,2005,3782,Fc,Calculated data
512,QC,Crops,100,India,5419,Yield,333,Lentils,2006,3949,Fc,Calculated data
513,QC,Crops,100,India,5419,Yield,333,Lentils,2007,3941,Fc,Calculated data
514,QC,Crops,100,India,5419,Yield,333,Lentils,2008,3483,Fc,Calculated data
515,QC,Crops,100,India,5419,Yield,333,Lentils,2009,4148,Fc,Calculated data
516,QC,Crops,100,India,5419,Yield,333,Lentils,2010,4494,Fc,Calculated data
517,QC,Crops,100,India,5419,Yield,333,Lentils,2011,4339,Fc,Calculated data
518,QC,Crops,100,India,5419,Yield,333,Lentils,2012,3527,Fc,Calculated data
519,QC,Crops,100,India,5419,Yield,333,Lentils,2013,4349,Fc,Calculated data
520,QC,Crops,100,India,5419,Yield,333,Lentils,2014,3917,Fc,Calculated data
521,QC,Crops,100,India,5419,Yield,339,Oils,1994,3209,Fc,Calculated data
522,QC,Crops,100,India,5419,Yield,339,Oils,1995,3161,Fc,Calculated data
523,QC,Crops,100,India,5419,Yield,339,Oils,1996,2779,Fc,Calculated data
524,QC,Crops,100,India,5419,Yield,339,Oils,1997,2991,Fc,Calculated data
525,QC,Crops,100,India,5419,Yield,339,Oils,1998,3048,Fc,Calculated data
526,QC,Crops,100,India,5419,Yield,339,Oils,1999,3043,Fc,Calculated data
527,QC,Crops,100,India,5419,Yield,339,Oils,2000,2997,Fc,Calculated data
528,QC,Crops,100,India,5419,Yield,339,Oils,2001,3023,Fc,Calculated data
529,QC,Crops,100,India,5419,Yield,339,Oils,2002,3039,Fc,Calculated data
530,QC,Crops,100,India,5419,Yield,339,Oils,2003,3003,Fc,Calculated data
531,QC,Crops,100,India,5419,Yield,339,Oils,2004,3003,Fc,Calculated data
532,QC,Crops,100,India,5419,Yield,339,Oils,2005,3000,Fc,Calculated data
533,QC,Crops,100,India,5419,Yield,339,Oils,2006,3002,Fc,Calculated data
534,QC,Crops,100,India,5419,Yield,339,Oils,2007,3056,Fc,Calculated data
535,QC,Crops,100,India,5419,Yield,339,Oils,2008,3447,Fc,Calculated data
536,QC,Crops,100,India,5419,Yield,339,Oils,2009,2663,Fc,Calculated data
537,QC,Crops,100,India,5419,Yield,339,Oils,2010,2778,Fc,Calculated data
538,QC,Crops,100,India,5419,Yield,339,Oils,2011,3161,Fc,Calculated data
539,QC,Crops,100,India,5419,Yield,339,Oils,2012,3238,Fc,Calculated data
540,QC,Crops,100,India,5419,Yield,339,Oils,2013,3345,Fc,Calculated data
541,QC,Crops,100,India,5419,Yield,339,Oils,2014,3176,Fc,Calculated data
542,QC,Crops,100,India,5419,Yield,372,Vegetables,1995,50132,Fc,Calculated data
543,QC,Crops,100,India,5419,Yield,372,Vegetables,1997,56531,Fc,Calculated data
544,QC,Crops,100,India,5419,Yield,372,Vegetables,2002,54552,Fc,Calculated data
545,QC,Crops,100,India,5419,Yield,372,Vegetables,2003,49913,Fc,Calculated data
546,QC,Crops,100,India,5419,Yield,372,Vegetables,2004,54990,Fc,Calculated data
547,QC,Crops,100,India,5419,Yield,372,Vegetables,2005,55426,Fc,Calculated data
548,QC,Crops,100,India,5419,Yield,397,Vegetables,2002,55241,Fc,Calculated data
549,QC,Crops,100,India,5419,Yield,397,Vegetables,2003,50545,Fc,Calculated data
550,QC,Crops,100,India,5419,Yield,397,Vegetables,2004,55686,Fc,Calculated data
551,QC,Crops,100,India,5419,Yield,397,Vegetables,2005,56129,Fc,Calculated data
552,QC,Crops,100,India,5419,Yield,406,Spices,1994,40768,Fc,Calculated data
553,QC,Crops,100,India,5419,Yield,406,Spices,1995,42475,Fc,Calculated data
554,QC,Crops,100,India,5419,Yield,406,Spices,1996,46437,Fc,Calculated data
555,QC,Crops,100,India,5419,Yield,406,Spices,1997,44522,Fc,Calculated data
556,QC,Crops,100,India,5419,Yield,406,Spices,1998,46323,Fc,Calculated data
557,QC,Crops,100,India,5419,Yield,406,Spices,1999,41692,Fc,Calculated data
558,QC,Crops,100,India,5419,Yield,406,Spices,2000,42103,Fc,Calculated data
559,QC,Crops,100,India,5419,Yield,406,Spices,2001,41400,Fc,Calculated data
560,QC,Crops,100,India,5419,Yield,406,Spices,2002,43551,Fc,Calculated data
561,QC,Crops,100,India,5419,Yield,406,Spices,2003,40987,Fc,Calculated data
562,QC,Crops,100,India,5419,Yield,406,Spices,2004,49755,Fc,Calculated data
563,QC,Crops,100,India,5419,Yield,406,Spices,2005,44872,Fc,Calculated data
